Name;#Errors_order;Score_ordered_connection;Recommanded_score;Score_named_connection;reason_of_low_score
aa0001ng;0;100;100;;
aann001;0;100;100;;
aheng002;0;100;100;;
alfred1;8;27;100;100;
andikirm001;0;100;100;;
andy0017;0;100;100;;
angb0017;0;100;100;;
angj0033;0;100;100;;
asetiadi001;0;100;100;;
ashkwong;11;0;0;0;empty_folder
aslctan;11;0;0;0;empty_folder
aslcwong;11;0;0;0;empty_folder
aslttoh;11;0;0;0;empty_folder
aspctan;11;0;0;0;empty_folder
aszul;11;0;0;0;empty_folder
avnish1;0;100;100;;
ayephyup001;0;100;100;;
bcheong001;8;27;100;100;
behc0002;0;100;100;;
bgani001;0;100;100;;
bhargav1;0;100;100;;
bkok001;0;100;100;;
blew001;0;100;100;;
blim013;8;27;100;100;incorrect_port_name
btanmizi1;11;0;100;100;
bwee002;0;100;100;;
byuen001;0;100;100;;
c110023;0;100;100;;
c110028;11;0;100;100;incorrect_port_name
c110038;0;100;100;;
c110044;0;100;100;;
c110052;0;100;100;;
c120037;0;100;100;;
c120038;8;27;100;100;
c120052;0;100;100;;
c120065;0;100;100;;
c120094;0;100;100;;
c120096;0;100;100;;
c120097;0;100;100;;
c120100;0;100;100;;
c120102;11;0;100;100;incorrect_port_name
c120103;0;100;100;;
c120108;0;100;100;;
c120109;8;27;100;100;
c120111;0;100;100;;
c120119;0;100;100;;
c120120;11;0;0;0;due_to_functions?
c120121;1;90;90;;
c120123;0;100;100;;
c120125;11;0;0;0;empty_folder
c120130;0;100;100;;
c120135;0;100;100;;
c120136;0;100;100;;
c120138;0;100;100;;
c120139;0;100;100;;
c120141;0;100;100;;
c120142;0;100;100;;
c120143;0;100;100;;
c120145;0;100;100;;
cail0011;0;100;100;;
cchiam001;0;100;100;;
cchong006;0;100;100;;
chee0099;0;100;100;;
chen0783;0;100;100;;
chen0818;0;100;100;;
chew0280;0;100;100;;
chia0315;11;0;0;0;empty_folder
chia0316;0;100;100;;
chin0190;0;100;100;;
chng0102;0;100;100;;
chye0008;0;100;100;;
cklee5;11;0;100;100;incorrect_port_name
clem0007;0;100;100;;
clem0009;0;100;100;;
cneo003;0;100;100;;
cphuah002;1;90;90;;
ctan028;0;100;100;;
ctgn1;0;100;100;;
czgoh1;0;100;100;;
daph0006;0;100;100;;
dchai001;0;100;100;;
ding0066;0;100;100;;
dinhphuc001;0;100;100;;
dxu004;0;100;100;;
dzhang005;0;100;100;;
eloh002;0;100;100;;
esng002;7;36;36;;
etan009;8;27;100;100;incorrect_port_name
fooc0029;0;100;100;;
fuji0007;0;100;100;;
furo0001;11;0;100;100;incorrect_port_name
ga0001he;11;0;100;100;
gohy0064;0;100;100;;
gu0002un;0;100;100;;
harpreet2;0;100;100;;
heng0136;0;100;100;;
her001;0;100;100;;
her001;0;100;100;;
hneo1;0;100;100;;
hng002;9;18;100;100;
hteo005;0;100;100;;
huan0250;0;100;100;;
hyho2;0;100;100;;
inchong1;11;0;100;100;incorrect_port_name
janani003;11;0;0;0;no_alu.v
