Name;#Errors;script_Score;manually_corrected_Score;reason_of_error
aa0001ng;9;10;100;1_clk_lagging
aann001;9;10;100;1_clk_lagging
aheng002;1;90;100;no_write_bypass
alfred1;9;10;100;1_clk_lagging
andikirm001;9;10;100;1_clk_lagging
andy0017;9;10;100;1_clk_lagging
angb0017;10;0;100;1_clk_lagging
angj0033;10;0;100;1_clk_lagging
asetiadi001;9;10;100;1_clk_lagging
avnish1;10;0;0;syntax_error(25)
ayephyup001;9;10;100;1_clk_lagging
bcheong001;9;10;100;1_clk_lagging
behc0002;9;10;100;1_clk_lagging
bgani001;9;10;100;1_clk_lagging
bhargav1;9;10;100;1_clk_lagging
bkok001;9;10;100;1_clk_lagging
blew001;9;10;100;1_clk_lagging
blim013;9;10;100;1_clk_lagging
btanmizi1;4;60;100;reading_incorrect_value
bwee002;9;10;100;1_clk_lagging
byuen001;9;10;100;1_clk_lagging
c110023;9;10;100;1_clk_lagging
c110028;9;10;100;1_clk_lagging
c110038;0;100;100;incorrect_Wen_controlling_RData1_RData2
c110044;9;10;100;1_clk_lagging
c110052;9;10;100;1_clk_lagging
c120037;10;0;100;1_clk_lagging
c120038;10;0;100;illegal_ref_to_RData1_RData2
c120052;9;10;100;1_clk_lagging
c120065;9;10;100;1_clk_lagging
c120094;9;10;100;1_clk_lagging
c120096;9;10;100;1_clk_lagging
c120097;9;10;100;1_clk_lagging
c120100;9;10;100;1_clk_lagging
c120102;9;10;100;1_clk_lagging
c120103;9;10;100;1_clk_lagging
c120108;9;10;100;1_clk_lagging
c120109;9;10;100;1_clk_lagging
c120111;9;10;100;1_clk_lagging
c120119;9;10;100;1_clk_lagging
c120120;9;10;100;1_clk_lagging
c120121;9;10;100;1_clk_lagging
c120123;9;10;100;1_clk_lagging
c120130;9;10;100;1_clk_lagging
c120135;1;90;100;no_write_bypass
c120136;9;10;100;1_clk_lagging
c120138;9;10;100;1_clk_lagging
c120139;9;10;100;1_clk_lagging
c120141;9;10;100;1_clk_lagging
c120142;9;10;100;1_clk_lagging
c120143;1;90;100;no_write_bypass
c120145;9;10;100;1_clk_lagging
cail0011;9;10;100;1_clk_lagging
cchiam001;9;10;100;1_clk_lagging
cchong006;9;10;100;1_clk_lagging
chee0099;1;90;100;no_write_bypass
chen0783;9;10;100;1_clk_lagging
chen0818;9;10;100;1_clk_lagging
chew0280;9;10;100;1_clk_lagging
chia0316;9;10;100;1_clk_lagging
chin0190;9;10;100;1_clk_lagging
chng0102;9;10;100;1_clk_lagging
chye0008;9;10;100;1_clk_lagging
cklee5;1;90;100;no_write_bypass
clem0007;0;100;100;incorrect_Wen_controlling_RData1_RData2
clem0009;9;10;100;1_clk_lagging
cneo003;9;10;100;1_clk_lagging
cphuah002;9;10;100;1_clk_lagging
ctan028;9;10;100;1_clk_lagging
ctgn1;9;10;100;1_clk_lagging
czgoh1;9;10;100;1_clk_lagging
daph0006;9;10;100;1_clk_lagging
